route_id,stop_id,frequency_x,frequency_y,freq_diff,stop_lat,stop_lon
100229,420,0.0,3.9555555555555557,-3.9555555555555557,47.6123734,-122.341019
100238,420,9.5,3.716666666666667,5.783333333333333,47.6123734,-122.341019
100242,420,8.883333335,6.5,2.3833333349999997,47.6123734,-122.341019
100246,420,6.066666665,6.5,-0.4333333350000004,47.6123734,-122.341019
100252,420,3.2700000000000005,3.38,-0.10999999999999943,47.6123734,-122.341019
102574,420,3.1533333332,3.4733333333333336,-0.32000000013333363,47.6123734,-122.341019
102576,420,2.4233333334,2.0366666666666666,0.3866666667333334,47.6123734,-122.341019
102581,420,2.2633333334,2.0566666666666666,0.20666666673333323,47.6123734,-122.341019
102615,420,2.0333333336,2.4166666666666665,-0.3833333330666666,47.6123734,-122.341019
100001,430,16.8,1.8055555555555556,14.994444444444445,47.6107903,-122.338875
100028,430,9.87499999925,7.183333333333334,2.6916666659166673,47.6107903,-122.338875
100039,430,3.9766666668,4.296666666666667,-0.31999999986666694,47.6107903,-122.338875
100062,430,8.0,4.15,3.8499999999999996,47.6107903,-122.338875
100071,430,13.13333333,3.8,9.333333329999999,47.6107903,-122.338875
100089,430,3.3333333334,3.06,0.2733333334000001,47.6107903,-122.338875
100173,430,2.8972222223333333,2.5722222222222224,0.32500000011111085,47.6107903,-122.338875
100210,430,2.42,2.23,0.18999999999999995,47.6107903,-122.338875
100219,430,3.3722222221666662,3.2194444444444446,0.15277777772222167,47.6107903,-122.338875
100252,430,3.4299999999999997,3.3866666666666667,0.043333333333333,47.6107903,-122.338875
100263,430,2.9766666668,3.666666666666667,-0.689999999866667,47.6107903,-122.338875
100264,430,2.6233333336,2.5,0.1233333336000002,47.6107903,-122.338875
102574,430,3.2833333332000003,3.4633333333333334,-0.18000000013333306,47.6107903,-122.338875
100001,450,6.166666665,1.7777777777777777,4.3888888872222225,47.6082497,-122.336548
100028,450,9.8708333325,7.194444444444444,2.6763888880555564,47.6082497,-122.336548
100039,450,4.1266666668,3.9466666666666668,0.1800000001333335,47.6082497,-122.336548
100062,450,8.0,4.15,3.8499999999999996,47.6082497,-122.336548
100071,450,13.13333333,3.8,9.333333329999999,47.6082497,-122.336548
100089,450,3.4966666668000004,3.253333333333333,0.2433333334666674,47.6082497,-122.336548
100173,450,2.891666666833333,3.3,-0.408333333166667,47.6082497,-122.336548
100210,450,2.3966666666000003,2.1166666666666663,0.279999999933334,47.6082497,-122.336548
100219,450,3.3722222221666667,3.15,0.22222222216666676,47.6082497,-122.336548
